,fname,ACC,MDR,FAR,MAE,RMSE
0,927.wav,0.9230769276618958,0.07692307978868484,0.07692307978868484,3.0039501190185547,4.041740894317627
1,2850.wav,1.0,0.0,0.0,1.9841527938842773,2.5053391456604004
2,3457.wav,1.0,0.0,0.0,0.6765633821487427,0.8220475912094116
3,2481.wav,0.7560975551605225,0.24390244483947754,0.12195122241973877,2.506352663040161,3.0682947635650635
4,3291.wav,0.949999988079071,0.05000000074505806,0.0,0.6751266121864319,0.8720618486404419
5,1263.wav,0.9523809552192688,0.0476190485060215,0.0,0.9441418051719666,1.1596444845199585
6,1192.wav,0.7631579041481018,0.2368421107530594,0.02631578966975212,2.17740797996521,2.902590274810791
7,3420.wav,0.9024389982223511,0.09756097197532654,0.024390242993831635,3.028425693511963,3.8622283935546875
8,3611.wav,0.604651153087616,0.39534884691238403,0.25581395626068115,2.8547985553741455,3.6169629096984863
9,3149.wav,0.9210526347160339,0.07894736528396606,0.02631578966975212,1.6584532260894775,2.3293261528015137
10,182.wav,1.0,0.0,0.0,1.4446378946304321,1.6721572875976562
11,1385.wav,0.9090909361839294,0.09090909361839294,0.0,0.5530713200569153,0.600608766078949
12,302.wav,0.949999988079071,0.05000000074505806,0.0,2.2032291889190674,2.6562581062316895
13,1633.wav,0.8999999761581421,0.10000000149011612,0.0,0.9071657061576843,1.1765189170837402
14,2419.wav,0.8235294222831726,0.1764705926179886,0.0,1.5217441320419312,2.1654462814331055
15,2981.wav,0.7714285850524902,0.22857142984867096,0.05714285746216774,2.845580816268921,3.581481456756592
16,1188.wav,0.9750000238418579,0.02500000037252903,0.0,1.852673053741455,2.6406073570251465
17,1017.wav,0.8780487775802612,0.12195122241973877,0.024390242993831635,2.7234983444213867,3.3096814155578613
18,1715.wav,0.7954545617103577,0.20454545319080353,0.13636364042758942,3.065225601196289,4.290066242218018
19,2131.wav,0.930232584476471,0.06976744532585144,0.0,2.9595091342926025,3.4568839073181152
20,1493.wav,0.738095223903656,0.261904776096344,0.0,1.8339719772338867,2.3588955402374268
21,820.wav,0.8571428656578064,0.1428571492433548,0.0,1.1469553709030151,1.627288579940796
22,2954.wav,0.9545454382896423,0.04545454680919647,0.0,0.7795034050941467,0.9064471125602722
23,2523.wav,1.0,0.0,0.0,0.36832934617996216,0.46564722061157227
24,3535.wav,0.7272727489471436,0.27272728085517883,0.22727273404598236,3.394679069519043,4.316623687744141
25,3772.wav,0.9111111164093018,0.08888889104127884,0.0,1.666388988494873,2.292055130004883
26,3218.wav,0.9047619104385376,0.095238097012043,0.0,1.3045654296875,1.6533104181289673
27,2421.wav,0.9750000238418579,0.02500000037252903,0.0,2.606255292892456,3.189377784729004
28,3442.wav,0.9411764740943909,0.05882352963089943,0.0,1.9979345798492432,2.518327236175537
29,1767.wav,1.0,0.0,0.0,1.5050396919250488,1.8877732753753662
30,3789.wav,0.9523809552192688,0.0476190485060215,0.0,0.6749497652053833,0.8304699659347534
31,3214.wav,0.95652174949646,0.043478261679410934,0.0,1.7041730880737305,2.080374240875244
32,1207.wav,0.8571428656578064,0.1428571492433548,0.0,1.7127573490142822,2.2031800746917725
33,3045.wav,0.7954545617103577,0.20454545319080353,0.09090909361839294,2.9761366844177246,3.7983882427215576
34,3275.wav,0.7804877758026123,0.2195121943950653,0.0731707289814949,2.4160351753234863,3.6890628337860107
35,1798.wav,1.0,0.0,0.0,0.44851601123809814,0.5214290022850037
36,3139.wav,0.9523809552192688,0.0476190485060215,0.0,2.570028305053711,3.1913981437683105
37,744.wav,0.5135135054588318,0.4864864945411682,0.0,1.5736560821533203,1.8837578296661377
38,534.wav,0.8292682766914368,0.17073170840740204,0.1463414579629898,2.9942750930786133,3.6871109008789062
39,3157.wav,0.9487179517745972,0.05128205195069313,0.0,3.6690001487731934,4.650201797485352
40,3248.wav,1.0,0.0,0.0,2.160789728164673,2.756007432937622
41,2795.wav,0.7894737124443054,0.21052631735801697,0.0,2.289557456970215,3.2911078929901123
42,719.wav,0.9024389982223511,0.09756097197532654,0.0731707289814949,2.2088303565979004,3.1991147994995117
43,2312.wav,0.8999999761581421,0.10000000149011612,0.0,2.1545889377593994,2.4741742610931396
44,2511.wav,0.9473684430122375,0.05263157933950424,0.0,2.0797934532165527,2.594464063644409
45,2774.wav,0.9545454382896423,0.04545454680919647,0.0,2.1546356678009033,2.4569456577301025
46,3268.wav,0.7368420958518982,0.2631579041481018,0.1315789520740509,4.026284217834473,4.564935684204102
47,3961.wav,0.8292682766914368,0.17073170840740204,0.12195122241973877,3.47223162651062,3.941185474395752
48,2690.wav,0.9750000238418579,0.02500000037252903,0.0,1.6476517915725708,2.0616230964660645
49,485.wav,1.0,0.0,0.0,1.131144642829895,1.4266033172607422
50,2216.wav,0.949999988079071,0.05000000074505806,0.0,0.6629644632339478,0.7940713763237
51,736.wav,0.8648648858070374,0.13513512909412384,0.027027027681469917,5.070262908935547,5.887381076812744
52,3869.wav,0.8292682766914368,0.17073170840740204,0.09756097197532654,3.249283790588379,3.9996228218078613
53,2141.wav,1.0,0.0,0.0,1.731687068939209,2.7981772422790527
54,3432.wav,0.8292682766914368,0.17073170840740204,0.04878048598766327,1.9208524227142334,2.6988749504089355
55,570.wav,1.0,0.0,0.0,1.3675475120544434,1.9227207899093628
56,914.wav,0.9523809552192688,0.0476190485060215,0.0,1.1237154006958008,1.3226988315582275
57,363.wav,0.9333333373069763,0.06666667014360428,0.0,1.3714303970336914,1.5508204698562622
