,fname,ACC,MDR,FAR,MAE,RMSE
0,['927.wav'],0.9487179517745972,0.05128205195069313,0.12820513546466827,2.9260196685791016,3.986798048019409
1,['2850.wav'],1.0,0.0,1.0,1.9841527938842773,2.5053391456604004
2,['3457.wav'],1.0,0.0,1.0,0.6765633821487427,0.8220475912094116
3,['2481.wav'],0.7804877758026123,0.2195121943950653,0.2926829159259796,2.5546436309814453,3.1037447452545166
4,['3291.wav'],0.949999988079071,0.05000000074505806,1.0499999523162842,0.6751266121864319,0.8720618486404419
5,['1263.wav'],0.9523809552192688,0.0476190485060215,1.047619104385376,0.8938626050949097,1.1170258522033691
6,['1192.wav'],0.8157894611358643,0.18421052396297455,0.34210526943206787,2.352839708328247,3.1258301734924316
7,['3420.wav'],0.9756097793579102,0.024390242993831635,0.09756097197532654,3.090400457382202,4.016332626342773
8,['3611.wav'],0.7209302186965942,0.27906978130340576,0.3488371968269348,2.8673648834228516,3.664578437805176
9,['3149.wav'],0.9473684430122375,0.05263157933950424,0.21052631735801697,1.6741530895233154,2.3264553546905518
10,['182.wav'],1.0,0.0,1.0,1.4446378946304321,1.6721572875976562
11,['1385.wav'],1.0,0.0,1.0,0.9465205669403076,1.7516652345657349
12,['302.wav'],1.0,0.0,1.0,2.362410068511963,2.8554913997650146
13,['1633.wav'],0.8999999761581421,0.10000000149011612,1.100000023841858,0.9071657061576843,1.1765189170837402
14,['2419.wav'],0.8823529481887817,0.11764705926179886,1.1176470518112183,1.8729047775268555,2.7293570041656494
15,['2981.wav'],0.8571428656578064,0.1428571492433548,0.2857142984867096,3.0288264751434326,3.7434611320495605
16,['1188.wav'],1.0,0.0,0.05000000074505806,1.8572916984558105,2.627216100692749
17,['1017.wav'],0.9268292784690857,0.0731707289814949,0.19512194395065308,2.8725979328155518,3.539860725402832
18,['1715.wav'],0.7954545617103577,0.20454545319080353,0.25,3.065225601196289,4.290066242218018
19,['2131.wav'],0.9767441749572754,0.023255813866853714,0.09302325546741486,3.2657883167266846,3.7916862964630127
20,['1493.wav'],0.9285714030265808,0.0714285746216774,0.1190476194024086,2.060865640640259,2.525512933731079
21,['820.wav'],1.0,0.0,1.0,1.2744755744934082,1.7894073724746704
22,['2954.wav'],0.9545454382896423,0.04545454680919647,1.045454502105713,0.7795034050941467,0.9064471125602722
23,['2523.wav'],1.0,0.0,1.0,0.36832934617996216,0.46564722061157227
24,['3535.wav'],0.7272727489471436,0.27272728085517883,1.2727272510528564,3.394679069519043,4.316623687744141
25,['3772.wav'],0.9111111164093018,0.08888889104127884,0.1111111119389534,1.666388988494873,2.292055130004883
26,['3218.wav'],0.9523809552192688,0.0476190485060215,1.047619104385376,1.259050726890564,1.6138575077056885
27,['2421.wav'],0.9750000238418579,0.02500000037252903,0.17499999701976776,2.606255292892456,3.189377784729004
