,ACC,MDR,FAR,MAE,RMSE
0,0.9230769276618958,0.07692307978868484,0.07692307978868484,3.0039501190185547,4.041740894317627
1,1.0,0.0,0.0,1.9841527938842773,2.5053391456604004
2,1.0,0.0,0.0,0.6765633821487427,0.8220475912094116
3,0.7560975551605225,0.24390244483947754,0.12195122241973877,2.506352663040161,3.0682947635650635
4,0.949999988079071,0.05000000074505806,0.0,0.6751266121864319,0.8720618486404419
5,0.9523809552192688,0.0476190485060215,0.0,0.9441418051719666,1.1596444845199585
6,0.7631579041481018,0.2368421107530594,0.02631578966975212,2.17740797996521,2.902590274810791
7,0.9024389982223511,0.09756097197532654,0.024390242993831635,3.028425693511963,3.8622283935546875
8,0.604651153087616,0.39534884691238403,0.25581395626068115,2.8547985553741455,3.6169629096984863
9,0.9210526347160339,0.07894736528396606,0.02631578966975212,1.6584532260894775,2.3293261528015137
